index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
183,2.542e+17,3.786e+16,1.5303e-10,7.7722e-12,50570.17399,50570.40354,xray
184,3.432e+17,5.111e+16,1.3477e-10,7.3891e-12,50570.17399,50570.40354,xray
185,4.633e+17,6.901e+16,1.2883e-10,4.5005e-12,50570.17399,50570.40354,xray
186,6.255e+17,9.316e+16,1.0814e-10,3.5835e-12,50570.17399,50570.40354,xray
187,8.444e+17,1.258e+17,9.0174e-11,3.7904e-12,50570.17399,50570.40354,xray
188,1.14e+18,1.698e+17,7.1824e-11,4.0483e-12,50570.17399,50570.40354,xray
189,1.539e+18,2.292e+17,5.6287e-11,4.767e-12,50570.17399,50570.40354,xray
190,2.078e+18,3.094e+17,4.1315e-11,6.6992e-12,50570.17399,50570.40354,xray
191,2.805e+18,4.177e+17,3.684e-11,8.9195e-12,50570.17399,50570.40354,xray
192,3.787e+18,5.64e+17,3.378e-11,1.0633e-11,50570.17399,50570.40354,xray
193,6.901e+18,1.028e+18,2.0808e-11,6.2865e-12,50570.17399,50570.40354,xray
194,1.395e+17,2.077e+16,1.1655e-10,7.2529e-12,50567.16837,50567.61257,xray
195,1.883e+17,2.805e+16,1.1313e-10,4.9025e-12,50567.16837,50567.61257,xray
196,2.542e+17,3.786e+16,1.0834e-10,4.2297e-12,50567.16837,50567.61257,xray
197,3.432e+17,5.111e+16,9.6747e-11,4.0543e-12,50567.16837,50567.61257,xray
198,4.633e+17,6.901e+16,9.1777e-11,2.6584e-12,50567.16837,50567.61257,xray
199,6.255e+17,9.316e+16,7.6166e-11,2.1022e-12,50567.16837,50567.61257,xray
200,8.444e+17,1.258e+17,6.0592e-11,2.1726e-12,50567.16837,50567.61257,xray
201,1.14e+18,1.698e+17,4.9873e-11,2.3638e-12,50567.16837,50567.61257,xray
202,1.539e+18,2.292e+17,3.8562e-11,2.7598e-12,50567.16837,50567.61257,xray
203,2.078e+18,3.094e+17,2.8525e-11,3.9075e-12,50567.16837,50567.61257,xray
204,2.805e+18,4.177e+17,2.1966e-11,4.9072e-12,50567.16837,50567.61257,xray
205,3.787e+18,5.64e+17,2.5031e-11,7.9813e-12,50567.16837,50567.61257,xray
206,5.112e+18,7.614e+17,2.2706e-11,6.9095e-12,50567.16837,50567.61257,xray
207,9.316e+18,1.388e+18,1.3612e-11,6.2337e-12,50567.16837,50567.61257,xray
208,1.773e+17,2.534e+16,3.1632e-10,6.7639e-12,51662.97053,51664.12794,xray
209,2.365e+17,3.379e+16,3.6192e-10,6.2239e-12,51662.97053,51664.12794,xray
210,3.153e+17,4.505e+16,3.8796e-10,6.4982e-12,51662.97053,51664.12794,xray
211,4.204e+17,6.008e+16,4.1319e-10,6.3689e-12,51662.97053,51664.12794,xray
212,5.606e+17,8.011e+16,4.2434e-10,6.7873e-12,51662.97053,51664.12794,xray
213,7.475e+17,1.068e+17,4.2017e-10,5.8598e-12,51662.97053,51664.12794,xray
214,9.968e+17,1.424e+17,4.2084e-10,7.1028e-12,51662.97053,51664.12794,xray
215,1.329e+18,1.899e+17,4.1855e-10,9.5972e-12,51662.97053,51664.12794,xray
216,1.772e+18,2.533e+17,4.0325e-10,1.3429e-11,51662.97053,51664.12794,xray
217,2.363e+18,3.377e+17,3.9344e-10,2.1803e-11,51662.97053,51664.12794,xray
218,3.151e+18,4.503e+17,3.2729e-10,9.5804e-12,51662.97053,51664.12794,xray
219,4.202e+18,6.005e+17,3.2451e-10,6.5995e-12,51662.97053,51664.12794,xray
220,5.603e+18,8.007e+17,2.8987e-10,7.1674e-12,51662.97053,51664.12794,xray
221,7.472e+18,1.068e+18,2.5194e-10,9.8673e-12,51662.97053,51664.12794,xray
222,9.963e+18,1.424e+18,2.0458e-10,1.3252e-11,51662.97053,51664.12794,xray
223,1.328e+19,1.898e+18,2.1145e-10,1.9742e-11,51662.97053,51664.12794,xray
224,1.771e+19,2.531e+18,1.489e-10,2.1179e-11,51662.97053,51664.12794,xray
225,2.362e+19,3.375e+18,1.4286e-10,2.5463e-11,51662.97053,51664.12794,xray
226,6.649e+25,,8.994e-11,5.7444e-12,54466.0,54647.0,gammaray
227,8.221e+25,,7.99e-11,4.6007e-12,54466.0,54647.0,gammaray
228,1.016e+26,,7.4867e-11,3.9737e-12,54466.0,54647.0,gammaray
229,1.255e+26,,7.6905e-11,3.8578e-12,54466.0,54647.0,gammaray
230,1.552e+26,,5.7174e-11,3.5085e-12,54466.0,54647.0,gammaray
231,1.917e+26,,5.3006e-11,3.5042e-12,54466.0,54647.0,gammaray
232,2.37e+26,,4.1161e-11,3.2175e-12,54466.0,54647.0,gammaray
233,2.931e+26,,2.7489e-11,2.8171e-12,54466.0,54647.0,gammaray
234,3.622e+26,,2.6332e-11,3.0003e-12,54466.0,54647.0,gammaray
235,4.476e+26,,1.784e-11,2.7403e-12,54466.0,54647.0,gammaray
236,5.532e+26,,1.5248e-11,2.7393e-12,54466.0,54647.0,gammaray
237,6.838e+26,,1.2628e-11,2.6537e-12,54466.0,54647.0,gammaray
238,8.453e+26,,5.7825e-12,2.1755e-12,54466.0,54647.0,gammaray
239,1.045e+27,,5.8153e-12,2.2525e-12,54466.0,54647.0,gammaray
240,6.649e+25,,1.5436e-10,4.2965e-12,54466.0,54647.0,gammaray
241,8.221e+25,,1.4593e-10,3.5449e-12,54466.0,54647.0,gammaray
242,1.016e+26,,1.4111e-10,3.5271e-12,54466.0,54647.0,gammaray
243,1.255e+26,,1.2636e-10,3.3714e-12,54466.0,54647.0,gammaray
244,1.552e+26,,1.1371e-10,3.3104e-12,54466.0,54647.0,gammaray
245,1.917e+26,,9.772e-11,3.1606e-12,54466.0,54647.0,gammaray
246,2.37e+26,,8.7185e-11,3.1636e-12,54466.0,54647.0,gammaray
247,2.931e+26,,7.3265e-11,3.116e-12,54466.0,54647.0,gammaray
248,3.622e+26,,6.2918e-11,3.1768e-12,54466.0,54647.0,gammaray
249,4.476e+26,,5.3126e-11,3.18e-12,54466.0,54647.0,gammaray
250,5.532e+26,,4.7967e-11,3.209e-12,54466.0,54647.0,gammaray
251,6.838e+26,,3.3725e-11,2.9907e-12,54466.0,54647.0,gammaray
252,8.453e+26,,3.0058e-11,3.1683e-12,54466.0,54647.0,gammaray
253,1.045e+27,,1.7308e-11,2.7461e-12,54466.0,54647.0,gammaray
254,1.292e+27,,8.111e-12,2.1388e-12,54466.0,54647.0,gammaray
255,1.775e+27,,9.0745e-12,1.8641e-12,54466.0,54647.0,gammaray
256,2.712e+27,,3.1255e-12,1.3995e-12,54466.0,54647.0,gammaray
257,6.649e+25,,2.1301e-10,6.9318e-12,54466.0,54647.0,gammaray
258,8.221e+25,,2.0299e-10,5.8305e-12,54466.0,54647.0,gammaray
259,1.016e+26,,1.9931e-10,5.9125e-12,54466.0,54647.0,gammaray
260,1.255e+26,,1.832e-10,5.7398e-12,54466.0,54647.0,gammaray
261,1.552e+26,,1.606e-10,5.5728e-12,54466.0,54647.0,gammaray
262,1.917e+26,,1.4136e-10,5.5283e-12,54466.0,54647.0,gammaray
